,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/21 08:11:36.840,,,,,18.800003051758,,,,,,,
2015/04/21 08:12:42.150,,,,,,,,,,,19.199996948242,
2015/04/21 08:12:42.580,,,,,,40.476192474365,,,,,,
2015/04/21 08:12:45.760,,,,,18.800003051758,,,,,,,
2015/04/21 08:12:55.700,,,,,,,,100.5860824585,,,,
2015/04/21 08:12:58.270,,,,40.402931213379,,,,,,40.51282119751,,
2015/04/21 08:13:55.720,,,,,18.800003051758,,,,,,,
2015/04/21 08:14:15.550,,,,,,,,,,,19.199996948242,
2015/04/21 08:15:15.920,,,,,,,,,,,19,
2015/04/21 08:16:07.610,,,,,18.800003051758,,,,,,,
2015/04/21 08:16:41.230,,,,,,,,,,40.659343719482,,
2015/04/21 08:16:49.410,,,,,,,,,,,19.199996948242,
2015/04/21 08:17:02.900,,,,40.439563751221,,,,,,,,
2015/04/21 08:17:07.940,,,,,19,,,,,,,
2015/04/21 08:18:06.650,,,,,,,,,,,19.199996948242,
2015/04/21 08:19:11.320,,,,,,,,,,,19.199996948242,
2015/04/21 08:20:27.730,,,,,,,,,,,19.199996948242,
2015/04/21 08:21:35.530,,,,,,,,,,,19,
2015/04/21 08:22:55.460,,,,,,40.476192474365,,100.5860824585,,,,
2015/04/21 08:22:55.480,,,,,19,,,,,,19,
2015/04/21 08:22:56.270,,,,40.51282119751,,,,,,40.659343719482,,
2015/04/21 08:23:56.020,,,,,,,,,,,19,
2015/04/21 08:25:13.270,,,,,,40.586082458496,,,,,,
2015/04/21 08:26:57.280,,,,40.586082458496,,,,,,,,
2015/04/21 08:32:34.270,,,,,,,,,,40.769233703613,,
2015/04/21 08:32:58.270,,,,40.586082458496,,40.586082458496,,100.5860824585,,,,
2015/04/21 08:32:58.660,,,,,19,,,,,,19.199996948242,
2015/04/21 08:33:22.290,,,,40.32967376709,,40.32967376709,,,,40.51282119751,,
2015/04/21 08:33:26.290,,,,39.890110015869,,39.853481292725,,,,40.036632537842,,
2015/04/21 08:33:46.270,,,,,,,,,,39.780220031738,,
2015/04/21 08:33:50.260,,,,39.523811340332,,39.560440063477,,,,,,
2015/04/21 08:33:58.280,,,,,,,,,,39.487182617188,,
2015/04/21 08:34:02.270,,,,39.230770111084,,39.230770111084,,,,,,
2015/04/21 08:34:06.290,,,,,,,,,,39.230770111084,,
2015/04/21 08:34:14.280,,,,38.937728881836,,38.937728881836,,,,,,
2015/04/21 08:34:27.280,,,,38.68132019043,,38.68132019043,,,,38.864471435547,,
2015/04/21 08:34:43.270,,,,38.351650238037,,38.388278961182,,,,38.498168945313,,
2015/04/21 08:35:05.250,,,,38.058609008789,,38.095241546631,,,,,,
2015/04/21 08:35:09.270,,,,,,,,,,38.131870269775,,
2015/04/21 08:35:21.260,,,,,,37.765567779541,,,,,,
2015/04/21 08:35:25.280,,,,37.692310333252,,,,,,37.875457763672,,
2015/04/21 08:35:29.250,,,,,,,,,,,18.800003051758,
2015/04/21 08:35:38.270,,,,,,37.545787811279,,,,37.65567779541,,
2015/04/21 08:35:42.270,,,,37.435897827148,,,,,,,,
2015/04/21 08:35:50.250,,,,,,37.289379119873,,,,,,
2015/04/21 08:35:54.290,,,,,,,,,,37.399269104004,,
2015/04/21 08:36:02.240,,,,37.069599151611,,,,,,,,
2015/04/21 08:36:10.280,,,,,,37.032970428467,,,,,,
2015/04/21 08:36:14.260,,,,,,,,,,37.106227874756,,
2015/04/21 08:36:26.270,,,,36.703296661377,,,,,,,,
2015/04/21 08:36:30.270,,,,,,,,,,36.84981918335,18.800003051758,
2015/04/21 08:36:34.270,,,,,,36.739929199219,,,,,,
2015/04/21 08:36:50.250,,,,36.446887969971,,36.410259246826,,,,,,
2015/04/21 08:36:58.260,,,,,,,,,,36.556777954102,,
2015/04/21 08:37:06.290,,,,,,,,,,36.300369262695,,
2015/04/21 08:37:10.270,,,,36.227108001709,,,,,,,,
2015/04/21 08:37:14.260,,,,,,36.117218017578,,,,,,
2015/04/21 08:37:27.260,,,,35.897438049316,,,,,,36.043956756592,,
2015/04/21 08:37:39.260,,,,,,35.82417678833,,,,,,
2015/04/21 08:37:47.280,,,,,,,,,,,19,
2015/04/21 08:37:51.270,,,,35.604396820068,,,,,,35.82417678833,,
2015/04/21 08:37:55.280,,,,,,35.567768096924,,,,,,
2015/04/21 08:38:07.280,,,,35.347988128662,,,,,,35.494506835938,,
2015/04/21 08:38:23.280,,,,,,35.274726867676,,,,,,
2015/04/21 08:38:31.290,,,,35.1282081604,,,,,,35.274726867676,,
