,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/09 14:50:01.660,,,,,-7.6999969482422,,,166.22711181641,,,,
2015/04/09 14:50:05.670,,,,,-7.1999969482422,,45.018367767334,,,,,
2015/04/09 14:50:09.680,,,,,-7.8000030517578,,,,,,,
2015/04/09 14:50:13.670,,,,,,,,165.64102172852,,,,
2015/04/09 14:50:17.670,,,,,,,,,,,-8.3999938964844,
2015/04/09 14:50:25.670,,,,,-7.5999908447266,27.912088394165,,164.46887207031,,27.802198410034,,
2015/04/09 14:50:29.660,,,,30.000001907349,,,,,,,,
2015/04/09 14:50:33.660,,,,,,,44.292602539063,165.64102172852,,,,
2015/04/09 14:50:41.670,,,,,-7.8999938964844,,,,,,,
2015/04/09 14:50:45.660,,,,,,,,,,,-8.8000030517578,
2015/04/09 14:50:53.660,,,,,,,,164.46887207031,,,,
2015/04/09 14:50:57.690,,,,,,,,,-7.531135559082,27.545787811279,,
2015/04/09 14:51:01.700,,,,,,27.619049072266,,163.29670715332,,,,
2015/04/09 14:51:05.680,,,,29.780221939087,-8.1999969482422,,,,,,,
2015/04/09 14:51:09.670,,,,,-7.8999938964844,,,,,,,
2015/04/09 14:51:13.690,,,,,-8.3999938964844,,,,,,,
2015/04/09 14:51:17.670,,,,,-8,,,162.71063232422,,,,
2015/04/09 14:51:21.690,,,,,-8.3000030517578,,,161.53846740723,,,,
2015/04/09 14:51:25.690,,,,,,,,162.71063232422,,,,
2015/04/09 14:51:29.660,,,,,,,,,,27.289379119873,,
2015/04/09 14:51:33.680,,,,,,27.362638473511,,,,,,
2015/04/09 14:51:37.690,,,,29.523811340332,,,,,,,,
2015/04/09 14:51:41.670,,,,,-8.6999969482422,,,161.53846740723,,,,
2015/04/09 14:51:45.690,,,,,-8.3000030517578,,,162.71063232422,,,-9.3999938964844,
2015/04/09 14:51:57.660,,,,,,,,161.53846740723,,,,
2015/04/09 14:52:01.670,,,,,-8.8999938964844,,,,,27.032968521118,,
2015/04/09 14:52:05.650,,,,29.267400741577,-8.5999908447266,,,,-8.2344303131104,,,
2015/04/09 14:52:09.670,,,,,-8.8999938964844,27.069599151611,,160.36630249023,,,,
2015/04/09 14:52:13.660,,,,,,,,161.53846740723,,,,
2015/04/09 14:52:17.680,,,,,,,,160.36630249023,,,,
2015/04/09 14:52:21.670,55.34188079834,,,29.633701324463,,,45.090942382813,162.71063232422,,,,
2015/04/09 14:52:25.670,60.409034729004,,,29.890111923218,,,47.340808868408,170.32968139648,,26.73992729187,,
2015/04/09 14:52:29.670,63.827838897705,,,30.146520614624,,,48.90119934082,175.60440063477,,,,
2015/04/09 14:52:33.680,66.697189331055,,,,,26.813188552856,50.352725982666,180.29304504395,,,,
2015/04/09 14:52:37.660,68.345542907715,,,,,,,184.39559936523,,,,
2015/04/09 14:52:41.660,69.261291503906,,,,,,,186.15383911133,,26.483516693115,-9.8999938964844,
2015/04/09 14:52:45.680,69.780220031738,,,,,26.556777954102,51.04220199585,187.32601928711,,,,
2015/04/09 14:52:49.680,70.177047729492,,,,-9.3000030517578,,50.49787902832,,,,,
2015/04/09 14:52:53.670,70.390724182129,,,,,,49.626960754395,,,,,
2015/04/09 14:52:57.670,,,,,,,50.679317474365,,,26.263736724854,-10.300003051758,
2015/04/09 14:53:01.670,,,,,,,,186.15383911133,,,,
2015/04/09 14:53:05.680,,,,,,,50.062419891357,187.32601928711,,,,
2015/04/09 14:53:09.690,,,,,-9.6999969482422,,50.606742858887,,,,,
2015/04/09 14:53:13.680,,,,,,,51.949405670166,189.0842590332,,,,
2015/04/09 14:53:21.700,70.177047729492,,,,,,50.679317474365,190.25640869141,,,,
2015/04/09 14:53:25.690,,,,29.890111923218,,,52.312286376953,193.18681335449,,,,
2015/04/09 14:53:29.690,,,,,-10.099990844727,,52.856609344482,192.0146484375,,,,
2015/04/09 14:53:33.690,,,,,,,,190.8424987793,,,,
2015/04/09 14:53:37.680,,,,,,26.33699798584,51.985691070557,,-8.9767990112305,,,
2015/04/09 14:53:45.690,,,,,,,53.21949005127,190.25640869141,,,,
2015/04/09 14:53:49.680,,,,,-10.399993896484,,52.493728637695,,,,,
2015/04/09 14:53:53.670,,,,,,,53.21949005127,,,,,
