,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/23 13:05:06.960,,,,,,,,,,,-16.300003051758,
2015/04/23 13:05:50.280,,,,,,22.344324111938,,,,,,
2015/04/23 13:06:14.900,,,,22.417583465576,,,,,,,,
2015/04/23 13:07:12.450,,,,,-9.5,,,,,,,
2015/04/23 13:07:51.860,,,,,,,,,,,-15.899993896484,
2015/04/23 13:08:22.870,,,,,,,,,,22.454214096069,,
2015/04/23 13:08:48.790,,,,,,22.454214096069,,,,,,
2015/04/23 13:08:49.260,,,,,-9.3000030517578,,,,,,,
2015/04/23 13:09:14.930,,,,22.527473449707,,,,,,,,
2015/04/23 13:09:57.560,,,,,,,,,-1.9829063415527,,,
2015/04/23 13:10:28.350,,,,,-9.0999908447266,,,,,,,
2015/04/23 13:10:53.860,,,,,,,,,,22.5641040802,,
2015/04/23 13:11:27.530,,,,,,,,,,,-15.699996948242,
2015/04/23 13:11:59.660,,,,,-8.8999938964844,,,,,,,
2015/04/23 13:12:29.080,,,,,,,,,,,-15.899993896484,
2015/04/23 13:12:50.880,,,,,,22.600732803345,,,,,,
2015/04/23 13:13:00.290,,,,22.600732803345,,,,,,22.5641040802,,
2015/04/23 13:13:01.700,,,,,-8.8999938964844,,,,,,,
2015/04/23 13:13:02.880,,,,,,,,100.5860824585,,,,
2015/04/23 13:13:32.700,,,,,,,,,,,-15.699996948242,
2015/04/23 13:14:37.890,,,,22.637363433838,,,,,,,,
2015/04/23 13:15:02.500,,,,,,,,,,,-15.5,
2015/04/23 13:15:17.870,,,,,,,,,,22.710622787476,,
2015/04/23 13:15:43.240,,,,,-9.0999908447266,,,,,,,
2015/04/23 13:16:06.890,,,,,,,,,,,-15.699996948242,
2015/04/23 13:16:24.430,,,,,,22.710622787476,,,,,,
2015/04/23 13:16:33.930,,,,,,,,,-1.3382148742676,,,
2015/04/23 13:16:44.350,,,,,-9.3000030517578,,,,,,,
2015/04/23 13:17:00.540,,,,22.783884048462,,,,,,,,
2015/04/23 13:17:07.390,,,,,,,,,,,-15.5,
2015/04/23 13:17:43.900,,,,,-9.6999969482422,,,,,,,
2015/04/23 13:17:56.850,,,,,,,,,,22.820514678955,,
2015/04/23 13:18:17.860,,,,,-10.099990844727,,,,,,,
2015/04/23 13:18:34.670,,,,,-10.300003051758,,,,,,,
2015/04/23 13:18:46.470,,,,,,22.820514678955,,,,,,
2015/04/23 13:18:53.270,,,,,-10.699996948242,,,,,,,
2015/04/23 13:19:06.390,,,,,,,,,,,-15.300003051758,
2015/04/23 13:19:16.340,,,,,-11.099990844727,,,,,,,
2015/04/23 13:19:26.340,,,,,-11.300003051758,,,,,,,
2015/04/23 13:19:37.670,,,,,-11.699996948242,,,,,,,
2015/04/23 13:19:43.500,,,,22.893774032593,,,,,,,,
2015/04/23 13:19:53.520,,,,,-12.099990844727,,,,,,,
2015/04/23 13:19:57.140,,,,,-12.300003051758,,,,,,,
2015/04/23 13:20:16.110,,,,,-12.699996948242,,,,,,,
2015/04/23 13:20:31.000,,,,,-13.099990844727,,,,,,,
2015/04/23 13:20:32.360,,,,,,,,,,,-15.5,
2015/04/23 13:20:40.880,,,,,-13.300003051758,,,,,,,
2015/04/23 13:21:07.030,,,,,-13.699996948242,,,,,,,
2015/04/23 13:22:01.650,,,,,-14.099990844727,,,,,,,
2015/04/23 13:22:33.550,,,,,,22.96703338623,,,,,,
2015/04/23 13:22:36.850,,,,,,,,,,22.930404663086,,
2015/04/23 13:22:47.550,,,,,,,,,-0.67399215698242,,,
2015/04/23 13:23:00.220,,,,22.96703338623,,,,,,,,
2015/04/23 13:23:00.250,,,,,,,,100.5860824585,,,,
2015/04/23 13:23:04.350,,,,,-13.899993896484,,,,,,-15.300003051758,
2015/04/23 13:23:51.390,,,,,-13.5,,,,,,,
2015/04/23 13:24:19.260,,,,,-13.099990844727,,,,,,,
2015/04/23 13:24:39.660,,,,,-12.699996948242,,,,,,,
2015/04/23 13:24:43.270,,,,23.003664016724,,,,,,,,
2015/04/23 13:24:48.280,,,,,,,,,,23.076923370361,,
2015/04/23 13:25:10.570,,,,,-12.300003051758,,,,,,,
2015/04/23 13:25:26.740,,,,,-12.099990844727,,,,,,,
2015/04/23 13:26:01.560,,,,,-11.699996948242,,,,,,,
2015/04/23 13:26:23.290,,,,,,23.076923370361,,,,,,
2015/04/23 13:26:30.530,,,,,,,,,,,-14.899993896484,
2015/04/23 13:26:49.460,,,,,-11.300003051758,,,,,,,
2015/04/23 13:26:51.220,,,,23.150184631348,,,,,,,,
2015/04/23 13:27:16.020,,,,,-11.099990844727,,,,,,,
2015/04/23 13:28:18.780,,,,,-10.699996948242,,,,,,,
2015/04/23 13:28:59.860,,,,,,,,,,23.186813354492,,
2015/04/23 13:29:04.900,,,,,,,,,-0.048839569091797,,,
2015/04/23 13:29:57.420,,,,,-10.300003051758,,,,,,,
2015/04/23 13:30:32.090,,,,,-10.099990844727,,,,,,,
2015/04/23 13:30:40.250,,,,23.260074615479,,,,,,,,
2015/04/23 13:30:45.750,,,,,,,,,,,-14.699996948242,
2015/04/23 13:31:16.880,,,,,,23.186813354492,,,,,,
2015/04/23 13:31:56.870,,,,23.150184631348,,,,,,,,
2015/04/23 13:32:05.860,,,,,-10.099990844727,,,,,,,
2015/04/23 13:32:13.870,,,,,,,,,,,-14.899993896484,
2015/04/23 13:32:29.870,,,,,-10.699996948242,,,,,,,
2015/04/23 13:32:34.850,,,,,-11.699996948242,,,,,,,
2015/04/23 13:32:38.890,,,,,-12.300003051758,,,,,,,
2015/04/23 13:32:42.880,,,,,-12.899993896484,23.186813354492,,,,,,
2015/04/23 13:32:47.850,,,,,-13.5,,,,,,,
2015/04/23 13:32:51.870,,,,,-13.899993896484,,,,,,,
2015/04/23 13:32:55.860,,,,,,,,,,23.296703338623,,
2015/04/23 13:33:03.870,,,,23.369964599609,-14.300003051758,,,100.5860824585,0.5372428894043,,,
2015/04/23 13:33:15.880,,,,,,23.443223953247,,,,,,
2015/04/23 13:33:19.880,,,,,,,,,,,-14.5,
2015/04/23 13:33:27.890,,,,,,,,,,23.626375198364,,
2015/04/23 13:33:31.890,,,,23.626375198364,,,,,,,,
2015/04/23 13:33:48.880,,,,,,23.699634552002,,,,,,
2015/04/23 13:34:04.880,,,,,-14.099990844727,,,,,,-14.099990844727,
2015/04/23 13:34:08.870,,,,,,,,,,23.882785797119,,
2015/04/23 13:34:12.880,,,,23.882785797119,,,,,,,,
2015/04/23 13:34:36.870,,,,,,23.919414520264,,,,,,
2015/04/23 13:34:56.870,,,,,-13.699996948242,,,,,,,
2015/04/23 13:35:00.850,,,,24.102565765381,,,,,,24.102565765381,,
2015/04/23 13:35:08.870,,,,,,24.175825119019,,,,,-13.5,
2015/04/23 13:35:32.860,,,,24.358974456787,,,,,,24.358974456787,,
2015/04/23 13:35:48.870,,,,,-13.300003051758,24.432235717773,,,,,,
