,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/08 09:54:26.890,,,,,,,,,,,19.300003051758,
2015/04/08 09:54:48.110,,,,,19.300003051758,,,,,,,
2015/04/08 09:55:32.750,,,,,,,,,,,19.300003051758,
2015/04/08 09:55:36.680,,,,40.659343719482,,,,,,,,
2015/04/08 09:55:48.540,,,,,19.300003051758,,,,,,,
2015/04/08 09:56:20.010,,,,,,40.659343719482,,,,,,
2015/04/08 09:56:40.680,,,,,,,,,,,19.300003051758,
2015/04/08 09:56:48.680,,,,,19.5,,,,,,,
2015/04/08 09:57:54.490,,,,,19.5,,,,,,,
2015/04/08 09:58:07.130,,,,,,,,,,,19.300003051758,
2015/04/08 09:59:02.350,,,,,19.300003051758,,,,,,,
2015/04/08 10:00:36.780,,,,,,,,,,,19.300003051758,
2015/04/08 10:00:38.580,,,,,19.300003051758,,,,,,,
2015/04/08 10:01:28.700,,,,,,,,,,40.842491149902,,
2015/04/08 10:01:44.130,,,,,19.300003051758,,,,,,,
2015/04/08 10:02:17.480,,,,,,,,,,,19.300003051758,
2015/04/08 10:02:26.010,,,,,,40.659343719482,,100.5860824585,,,,
2015/04/08 10:02:26.680,,,,40.659343719482,,,,,,,,
2015/04/08 10:03:00.180,,,,,19.300003051758,,,,,,,
2015/04/08 10:04:02.420,,,,,,,,,,,19.300003051758,
2015/04/08 10:04:03.320,,,,,19.300003051758,,,,,,,
2015/04/08 10:05:06.690,,,,,19.300003051758,,,,,,,
2015/04/08 10:06:12.190,,,,,19.300003051758,,,,,,,
2015/04/08 10:07:13.160,,,,,19.300003051758,,,,,,,
2015/04/08 10:08:26.170,,,,,19.300003051758,,,,,,,
2015/04/08 10:09:26.870,,,,,19.5,,,,,,,
2015/04/08 10:10:11.970,,,,,,40.769233703613,,,,,,
2015/04/08 10:10:22.660,,,,40.769233703613,,,,,,,,
2015/04/08 10:10:32.740,,,,,19.300003051758,,,,,,,
2015/04/08 10:10:34.980,,,,,,,,,,,19.300003051758,
2015/04/08 10:11:33.290,,,,,19.300003051758,,,,,,,
2015/04/08 10:12:25.950,,,,,,,,,,,19.600006103516,
2015/04/08 10:12:26.660,,,,40.695972442627,,40.695972442627,,100.5860824585,,40.842491149902,,
2015/04/08 10:12:59.320,,,,,19.300003051758,,,,,,,
2015/04/08 10:14:02.680,,,,,19.300003051758,,,,,,,
2015/04/08 10:14:14.390,,,,,,,,,,,19.400009155273,
2015/04/08 10:14:38.660,,,,,,,,,,40.952381134033,,
2015/04/08 10:15:07.470,,,,,19.300003051758,,,,,,,
2015/04/08 10:16:09.540,,,,,19.300003051758,,,,,,,
2015/04/08 10:17:24.690,,,,39.890110015869,,39.963371276855,,,,40.036632537842,,
2015/04/08 10:17:28.670,,,,39.523811340332,,39.487182617188,,,,39.597072601318,,
2015/04/08 10:17:38.700,,,,,19.300003051758,,,,,,19.400009155273,
2015/04/08 10:17:48.670,0.45787546038628,,,39.230770111084,,39.230770111084,,,,,,
2015/04/08 10:17:52.660,2.5030524730682,,,38.974361419678,,,,,,39.194141387939,,
2015/04/08 10:17:57.680,4.3956046104431,,,,,,,,,,,
2015/04/08 10:18:05.660,3.8156287670135,,,,,,,,,,,
2015/04/08 10:18:09.650,3.5103785991669,,,39.30403137207,,,,,,,,
2015/04/08 10:18:13.690,2.9914529323578,,,,,,,,,39.560440063477,,
2015/04/08 10:18:17.660,2.4420025348663,,,,,,,,,,,
2015/04/08 10:18:21.670,1.9841270446777,,,,,,,,,,,
2015/04/08 10:18:23.670,,,,,18.900009155273,,,,,,,
2015/04/08 10:18:25.680,,,,,,39.560440063477,,,,,,
2015/04/08 10:18:29.670,1.4041514396667,,,39.523811340332,,,,,,,,
2015/04/08 10:18:33.660,0.24420024454594,,,,,,,,,,,
2015/04/08 10:18:37.660,0.030525030568242,,,,,,,,,39.853481292725,,
2015/04/08 10:18:43.670,,,,,18.699996948242,,,,,,,
2015/04/08 10:18:45.690,,,,39.780220031738,,,,,,,,
2015/04/08 10:18:47.640,,,,,18.900009155273,,,,,,,
2015/04/08 10:18:49.670,,,,,,39.853481292725,,,,,,
2015/04/08 10:18:53.660,1.5262515544891,,,,,,,,,,,
2015/04/08 10:18:57.660,2.1978023052216,,,,,,,,,40.109889984131,,
2015/04/08 10:19:01.680,2.4420025348663,,,,,,,,,,,
2015/04/08 10:19:03.690,,,,,,,,,,,19.600006103516,
2015/04/08 10:19:05.680,,,,40.073261260986,,,,,,,,
2015/04/08 10:19:09.690,,,,,,40.146522521973,,,,,,
2015/04/08 10:19:13.670,,,,,,,,,,40.402931213379,,
2015/04/08 10:19:17.700,1.0989011526108,,,40.32967376709,,40.402931213379,,,,,,
2015/04/08 10:19:21.680,0.091575093567371,,,,,,,,,,,
2015/04/08 10:19:25.670,,,,,,,,,,40.695972442627,,
2015/04/08 10:19:29.680,0.70207571983337,,,40.659343719482,,40.659343719482,,,,,,
2015/04/08 10:19:33.670,0.091575093567371,,,,,,,,,,,
2015/04/08 10:19:37.680,,,,,,,,,,40.952381134033,,
2015/04/08 10:19:45.670,,,,40.952381134033,,40.952381134033,,,,,,
2015/04/08 10:19:58.830,,,,,19.300003051758,,,,,,,
2015/04/08 10:19:59.280,,,,,19,,,,,,,
2015/04/08 10:20:01.660,,,,,,,,,,41.245422363281,,
2015/04/08 10:20:05.680,0.33577534556389,,,41.208793640137,,,,,,,,
2015/04/08 10:20:07.940,,,,,,,,,,,19.800003051758,
2015/04/08 10:20:09.670,0.030525030568242,,,,,41.208793640137,,,,,,
2015/04/08 10:20:21.680,,,,,,,,,,41.501834869385,,
