,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/14 09:23:36.840,,,,,,,,,,,19,
2015/04/14 09:24:40.040,,,,,,,,,,,18.800003051758,
2015/04/14 09:25:11.190,,,,,,,,,,31.721612930298,,
2015/04/14 09:25:40.590,,,,,,,,,,,19,
2015/04/14 09:26:35.070,,,,,,31.575092315674,,,,,,
2015/04/14 09:26:41.000,,,,,,,,,,,18.800003051758,
2015/04/14 09:27:44.050,,,,,,,,,,,19,
2015/04/14 09:28:19.050,,,,31.611722946167,,,,,,,,
2015/04/14 09:28:49.040,,,,,,,,,,,18.800003051758,
2015/04/14 09:29:50.700,,,,,,,,,,,19,
2015/04/14 09:30:53.740,,,,,,31.575092315674,,,,,,
2015/04/14 09:30:56.060,,,,,,,,,,,18.800003051758,
2015/04/14 09:31:57.310,,,,,,,,,,,19,
2015/04/14 09:32:35.040,,,,,19,,,,,,,
2015/04/14 09:32:40.080,,,,31.611722946167,,31.575092315674,,100.5860824585,,31.721612930298,,
2015/04/14 09:33:02.100,,,,,,,,,,,18.800003051758,
2015/04/14 09:33:44.130,,,,,19,,,,,,,
2015/04/14 09:34:06.640,,,,,,,,,,,18.800003051758,
2015/04/14 09:34:46.680,,,,,19,,,,,,,
2015/04/14 09:35:15.110,,,,,,,,,,,18.800003051758,
2015/04/14 09:35:47.530,,,,,19,,,,,,,
2015/04/14 09:36:25.070,,,,31.428573608398,,31.391942977905,,,,31.575092315674,,
2015/04/14 09:36:29.080,,,,31.062273025513,,31.02564239502,,,,31.13553237915,,
2015/04/14 09:36:33.070,,,,30.366302490234,,30.366302490234,,,,30.476192474365,,
2015/04/14 09:36:37.080,,,,29.963371276855,,29.926740646362,,,,30.036630630493,,
2015/04/14 09:36:53.070,1.7399266958237,,,,,,,,,29.816850662231,18.699996948242,
2015/04/14 09:36:57.080,3.5714285373688,,,,,,,,,,,
2015/04/14 09:37:01.070,3.8156287670135,,,,,,,,,30.109891891479,,
2015/04/14 09:37:05.060,3.5103785991669,,,,18.600006103516,,,,,,,
2015/04/14 09:37:09.080,,,,,,30.183151245117,,,,,,
2015/04/14 09:37:13.070,,,,30.329671859741,,,,,,30.476192474365,,
2015/04/14 09:37:17.060,,,,,,30.439561843872,,,,,,
2015/04/14 09:37:21.070,2.9914529323578,,,,,,,,,,,
2015/04/14 09:37:26.070,1.9841270446777,,,30.586082458496,,,,,,,,
2015/04/14 09:37:30.070,0.79365080595016,,,,,,,,,30.732601165771,,
2015/04/14 09:37:34.080,0.030525030568242,,,,,30.659341812134,,,,,,
2015/04/14 09:37:38.080,,,,,18.199996948242,,,,,,,
2015/04/14 09:37:42.060,,,,30.879121780396,,,,,,30.952383041382,,
2015/04/14 09:37:46.070,,,,,18.400009155273,30.915752410889,,,,,,
2015/04/14 09:37:54.090,,,,31.13553237915,,,,,,31.282052993774,,
2015/04/14 09:38:02.070,,,,,,31.208791732788,,,,,,
2015/04/14 09:38:06.070,,,,,,,,,,31.538463592529,,
2015/04/14 09:38:14.080,,,,31.501832962036,,31.465202331543,,,,,,
2015/04/14 09:38:26.070,,,,,,,,,,31.758243560791,,
2015/04/14 09:38:34.090,,,,,,,,,,,19.100006103516,
2015/04/14 09:38:38.070,,,,31.794872283936,,31.758243560791,,,,,,
2015/04/14 09:38:55.080,,,,,,,,,,32.087913513184,,
2015/04/14 09:39:07.080,,,,32.051284790039,,32.087913513184,,,,,,
2015/04/14 09:39:23.080,,,,,,,,,,32.307693481445,,
2015/04/14 09:39:31.070,,,,32.271064758301,,,,,,,,
2015/04/14 09:39:39.060,,,,,18.800003051758,32.307693481445,,,,,,
2015/04/14 09:39:47.060,,,,,,,,,,32.564102172852,,
2015/04/14 09:40:03.070,,,,32.527473449707,,,,,,,,
2015/04/14 09:40:07.080,,,,,,32.564102172852,,,,,,
2015/04/14 09:40:15.070,,,,,,,,,,32.820514678955,,
2015/04/14 09:40:23.080,,,,32.783885955811,,,,,,,,
2015/04/14 09:40:31.080,,,,,,32.8571434021,,,,,,
2015/04/14 09:40:39.080,,,,,,,,,,33.113555908203,,
2015/04/14 09:40:47.080,,,,,18.600006103516,33.113555908203,,,,,,
2015/04/14 09:40:51.070,,,,33.150184631348,,,,,,,,
2015/04/14 09:41:03.060,,,,,,,,,,33.406593322754,,
2015/04/14 09:41:07.070,,,,,,33.369964599609,,,,,,
2015/04/14 09:41:14.310,,,,33.516483306885,,,,,,,,
2015/04/14 09:41:16.130,,,,,,,,,,33.663005828857,,
2015/04/14 09:41:27.090,,,,,,33.589744567871,,,,,,
2015/04/14 09:41:33.880,,,,33.772895812988,,,,,,,,
2015/04/14 09:41:34.340,,,,,,,,,,33.919414520264,,
2015/04/14 09:41:35.060,,,,,,33.809524536133,,,,,,
2015/04/14 09:41:58.060,,,,34.065937042236,,,,,,34.139194488525,,
2015/04/14 09:41:59.060,,,,,,34.102565765381,,,,,,
2015/04/14 09:42:00.820,,,,,18.600006103516,,,,,,,
2015/04/14 09:42:19.070,,,,34.322345733643,,34.358974456787,,,,34.468864440918,,
2015/04/14 09:42:39.080,0.54945057630539,,,,,,,,,,,
