,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/01 09:15:03.660,53.632476806641,,,,-8.6999969482422,,,,,,,
2015/04/01 09:15:07.680,53.846153259277,,,,,,,,,,,
2015/04/01 09:15:11.660,,,,31.172163009644,,31.172163009644,,,,,,
2015/04/01 09:15:15.650,,,,,,,,,,31.098901748657,,
2015/04/01 09:15:23.670,,,,,-9.1999969482422,,,,,,-5.8000030517578,
2015/04/01 09:15:27.670,,,,30.952383041382,-9.5,30.842493057251,,,,,,
2015/04/01 09:15:35.640,,,,,,,,,,30.769231796265,,
2015/04/01 09:15:39.680,,,,30.695972442627,,,,,,,,
2015/04/01 09:15:47.670,,,,,,30.622711181641,,,,,,
2015/04/01 09:15:51.670,,,,,-9.8999938964844,,,,,30.476192474365,-6.5,
2015/04/01 09:16:03.660,,,,30.439561843872,,30.366302490234,,,,,,
2015/04/01 09:16:07.660,53.388278961182,,,,,,,,,,,
2015/04/01 09:16:11.670,52.960929870605,,,,,,,,,,,
2015/04/01 09:16:15.660,52.65567779541,,,,-10.199996948242,,,,,,,
2015/04/01 09:16:19.650,,,,,-10.5,,,,,,-7.0999908447266,
2015/04/01 09:16:23.660,,,,,-10.899993896484,30.622711181641,,,,,,
2015/04/01 09:16:27.660,,,,,-10.5,,,,,,,
2015/04/01 09:16:31.670,,,,30.695972442627,,,,,,,,
2015/04/01 09:16:39.660,,,,,-10.899993896484,,,,,,-7.6999969482422,
2015/04/01 09:16:43.650,52.350425720215,,,32.051284790039,,30.915752410889,,,,30.952383041382,,
2015/04/01 09:16:47.660,44.413921356201,,,,-11.300003051758,,5.3191208839417,,,,,
2015/04/01 09:16:51.640,46.275947570801,,,,-11.099990844727,30.549451828003,7.6415629386902,,,30.659341812134,,
2015/04/01 09:16:56.650,50.976802825928,,,32.271064758301,,30.805862426758,8.3673257827759,,,,-6.5,
2015/04/01 09:17:00.670,51.343101501465,,,32.673992156982,,,15.806398391724,,19.506717681885,30.952383041382,,
2015/04/01 09:17:04.650,52.472526550293,,,,-10.699996948242,,20.306129455566,,14.192920684814,,-5.3999938964844,
2015/04/01 09:17:08.650,54.212455749512,,,,,30.549451828003,28.362100601196,117.58242034912,3.233211517334,30.659341812134,,
2015/04/01 09:17:12.650,55.34188079834,,,,,,39.28483581543,262.93041992188,-2.1782646179199,,,
2015/04/01 09:17:16.650,55.067153930664,,,32.34432220459,-10.300003051758,,45.344959259033,390.69598388672,-3.8192901611328,,,
2015/04/01 09:17:20.660,54.242980957031,,,,-9.5,,50.860759735107,489.74359130859,,,,
2015/04/01 09:17:25.670,,,,,-8.8000030517578,,54.671016693115,584.1025390625,,,,
2015/04/01 09:17:29.670,53.846153259277,,,,-8.5,,56.485424041748,655.60443115234,,,,
2015/04/01 09:17:33.660,53.632476806641,,,,,,,703.66302490234,,,,
2015/04/01 09:17:37.660,,,,,-8.0999908447266,,,742.93041992188,-4.542121887207,,,
2015/04/01 09:17:41.660,,,,32.051284790039,,30.293041229248,,768.71795654297,,30.366302490234,,
2015/04/01 09:17:45.650,53.907203674316,,,,-7.5,,,776.33703613281,,,,
2015/04/01 09:17:49.640,54.151405334473,,,,,,57.682933807373,775.16485595703,,,,
2015/04/01 09:17:53.670,,,,,-7.8999938964844,30.073261260986,57.029747009277,784.54217529297,,,,
2015/04/01 09:17:57.660,53.937728881836,,,31.721612930298,,,,787.47253417969,,30.000001907349,,
2015/04/01 09:18:01.680,,,,,,29.816850662231,,786.30041503906,,,,
2015/04/01 09:18:05.670,,,,,,,,793.33337402344,,,-5.3999938964844,
2015/04/01 09:18:09.680,,,,,,,,802.12457275391,,,-5.8000030517578,
2015/04/01 09:18:14.680,54.304027557373,,,31.428573608398,,,,823.8095703125,-5.3431015014648,,,
2015/04/01 09:18:18.690,54.51770401001,,,,-8.3999938964844,29.560440063477,,841.97802734375,,29.670330047607,,
2015/04/01 09:18:22.670,,,,,,,,857.21612548828,,,,
2015/04/01 09:18:26.680,,,,,,,,871.8681640625,,,,
2015/04/01 09:18:30.680,,,,,,,,884.17584228516,,29.450550079346,,
2015/04/01 09:18:34.660,,,,31.13553237915,,,56.122543334961,896.48352050781,,,,
2015/04/01 09:18:38.700,54.304027557373,,,,,,,905.27478027344,-6.1440773010254,,,
2015/04/01 09:18:42.670,55.036628723145,,,,-8.8000030517578,29.194139480591,,915.82421875,,29.194139480591,-6.3000030517578,
2015/04/01 09:18:46.670,58.760684967041,,,31.428573608398,,,59.823932647705,928.71795654297,,,,
2015/04/01 09:18:51.670,64.133087158203,,,31.721612930298,,,64.79541015625,943.36999511719,-6.6910858154297,,,
2015/04/01 09:18:55.660,68.528694152832,,,,,,69.041130065918,952.16119384766,,,,
